policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v3,5,0,0,1,0,22.933333333333334,17.0,0.05787469575813409,0.003062174619628331
GKBug_v3,5,1,0,1,0,40.74166666666667,17.5,0.08483291969276047,0.01348549017142071
GKBug_v3,5,2,0,1,0,42.733333333333334,11.0,0.0400048697962724,0.005311310565710515
GKBug_v3,5,3,1,0,0,74.39166666666667,37.25,0.05922338265401558,0.012075525670720306
GKBug_v3,5,4,0,1,0,64.24166666666666,39.0,0.0446588611088456,0.014854195528267533
GKBug_v3,5,5,0,1,0,30.75,5.75,0.11366358820007771,0.0020076209124114024
GKBug_v3,5,6,0,1,0,83.575,13.25,0.10128810715325663,0.004912105088773936
GKBug_v3,5,7,0,1,0,9.0,6.5,0.0721140190762472,0.004622589006544718
GKBug_v3,5,8,1,0,0,59.30833333333333,34.5,0.08931397929956858,0.016315249341631855
GKBug_v3,5,9,0,0,1,62.43333333333333,35.0,0.05960530088700652,0.012696522430620038
GKBug_v3,5,10,0,1,0,73.0,4.75,0.0628844488286149,0.00029465643654097277
GKBug_v3,5,11,0,1,0,74.81666666666666,3.25,0.0,2.198294942171116e-05
GKBug_v3,5,12,0,1,0,48.275,24.25,0.05083336547260022,0.010094538939658552
GKBug_v3,5,13,0,1,0,74.94166666666666,2.25,0.0,0.0001840093764323945
GKBug_v3,5,14,0,1,0,97.89999999999999,2.0,0.06995197693521907,0.0004458111315493454
GKBug_v3,5,15,0,0,1,43.675000000000004,23.25,0.06406944852338994,0.012810386419145855
GKBug_v3,5,16,1,0,0,61.724999999999994,34.25,0.0833511922007388,0.010415961248149906
GKBug_v3,5,17,0,0,1,65.74166666666666,37.5,0.08232911521998458,0.022155384050108456
GKBug_v3,5,18,1,0,0,60.199999999999996,40.25,0.07176528461011614,0.019595727727392723
GKBug_v3,5,19,0,1,0,61.1,38.25,0.07254958915580693,0.03007433929091557
GKBug_v3,5,20,1,0,0,60.633333333333326,32.0,0.06150307034639198,0.031947242390457424
GKBug_v3,5,21,0,0,1,66.66666666666666,29.75,0.07519839260136711,0.008047952821840145
GKBug_v3,5,22,1,0,0,34.8,21.5,0.034834230292714354,0.005025287363874705
GKBug_v3,5,23,0,1,0,62.75833333333334,43.5,0.07062137958518681,0.011359192029783676
GKBug_v3,5,24,0,1,0,87.125,13.0,0.07005450885245987,0.005370483639882783
