policy,chunk_id,episode,win,draw,loss,sap,sbf,mecha,cv
GKBug_v0,14,0,1,0,0,71.15,35.75,0.06352002871136672,0.02324083881084774
GKBug_v0,14,1,1,0,0,61.4,58.5,0.0719153567540465,0.009919879858656075
GKBug_v0,14,2,0,1,0,19.625,5.75,0.05964159913726067,0.0032773300740556012
GKBug_v0,14,3,0,1,0,62.63333333333333,43.75,0.08364280003033413,0.017731330961136178
GKBug_v0,14,4,1,0,0,57.04166666666667,32.0,0.07371813805430712,0.018532754769784728
GKBug_v0,14,5,0,1,0,73.20833333333333,5.25,0.10496888621387059,0.0014283208797155134
GKBug_v0,14,6,0,1,0,37.541666666666664,26.0,0.06518193591827448,0.013316251008575516
GKBug_v0,14,7,1,0,0,63.849999999999994,46.25,0.07628687505751366,0.012601275361960828
GKBug_v0,14,8,0,1,0,72.35833333333333,2.75,0.07061601707344946,0.0001483004366197251
GKBug_v0,14,9,1,0,0,72.65833333333333,40.0,0.07650795791537025,0.020718017067578174
GKBug_v0,14,10,1,0,0,62.083333333333336,12.25,0.05228639254694735,0.004235480266537693
GKBug_v0,14,11,1,0,0,66.725,43.75,0.0833086356512809,0.028807772615507866
GKBug_v0,14,12,1,0,0,39.975,7.25,0.06460403740570078,0.0010405005858328382
GKBug_v0,14,13,0,1,0,97.51666666666667,6.0,0.0,0.0004798797229376544
GKBug_v0,14,14,0,1,0,72.08333333333333,8.25,0.07181849200096181,0.00036004651293864353
GKBug_v0,14,15,0,1,0,54.383333333333326,16.5,0.061400574015644346,0.006453654512378467
GKBug_v0,14,16,1,0,0,56.025000000000006,14.5,0.04026656132321776,0.011422591694152719
GKBug_v0,14,17,0,1,0,58.68333333333333,39.5,0.06433701452860549,0.014607825457119228
GKBug_v0,14,18,1,0,0,68.55833333333334,40.5,0.06690480111858553,0.014055457273362297
GKBug_v0,14,19,0,1,0,71.775,6.75,0.13017398917391812,0.0010670879894246075
GKBug_v0,14,20,1,0,0,68.2,44.5,0.07811630555604686,0.02241400718565203
GKBug_v0,14,21,1,0,0,60.56666666666667,48.0,0.07056848468255993,0.01851448373883402
GKBug_v0,14,22,1,0,0,61.3,46.0,0.08421164857058391,0.011813874393860599
GKBug_v0,14,23,1,0,0,69.20833333333334,41.25,0.0610278619867542,0.017780629368136975
GKBug_v0,14,24,0,1,0,69.33333333333334,16.75,0.06479390303790751,0.007023314229719812
GKBug_v0,14,0,1,0,0,55.43333333333334,48.75,0.06457543280907306,0.011780366675019312
GKBug_v0,14,1,1,0,0,66.3,62.25,0.07729084381473265,0.007036077474923588
GKBug_v0,14,2,1,0,0,51.625,60.75,0.07950271259188504,0.022473811673830463
GKBug_v0,14,3,1,0,0,53.37499999999999,45.75,0.07762393018205498,0.01108913237314809
GKBug_v0,14,4,1,0,0,53.43333333333333,49.0,0.05655104299792685,0.00885572914109939
GKBug_v0,14,5,1,0,0,62.625,67.25,0.08867811762799938,0.008778289871878094
GKBug_v0,14,6,1,0,0,51.0,40.5,0.0579071541468966,0.011495044864987099
GKBug_v0,14,7,1,0,0,59.22500000000001,67.75,0.07123847337637228,0.009633498205215016
GKBug_v0,14,8,1,0,0,88.88333333333334,7.5,0.05893518638629143,0.001382997184271499
GKBug_v0,14,9,1,0,0,63.18333333333334,58.25,0.06771718099222858,0.011160437969788592
GKBug_v0,14,10,1,0,0,49.90833333333333,50.5,0.07119338807679776,0.022781449680815864
GKBug_v0,14,11,1,0,0,63.68333333333334,46.5,0.06890436833996931,0.01129991735086993
GKBug_v0,14,12,1,0,0,60.50833333333333,45.5,0.054704349354167375,0.012845851733791734
GKBug_v0,14,13,1,0,0,52.80833333333334,57.0,0.06596194909803106,0.010827371194865706
GKBug_v0,14,14,1,0,0,53.88333333333334,15.75,0.05584283768235845,0.005349126781749635
GKBug_v0,14,15,1,0,0,61.93333333333333,56.75,0.05940944254138753,0.009031399844722968
GKBug_v0,14,16,1,0,0,62.11666666666667,39.25,0.06313248172139746,0.012980439661099437
GKBug_v0,14,17,1,0,0,52.06666666666667,47.75,0.06177887537338134,0.014980530636871646
GKBug_v0,14,18,1,0,0,60.73333333333333,46.75,0.05998845023268648,0.011824397937442315
GKBug_v0,14,19,1,0,0,32.958333333333336,10.25,0.05400639884156366,0.004023714655435535
GKBug_v0,14,20,1,0,0,58.63333333333334,53.0,0.06110749398634359,0.010043284240867577
GKBug_v0,14,21,1,0,0,96.75833333333334,8.0,0.05689999926447539,0.0013224444316209797
GKBug_v0,14,22,0,1,0,49.86666666666667,4.25,0.0550142088601659,0.0002582910325426944
GKBug_v0,14,23,1,0,0,59.49166666666667,46.25,0.057704997490473364,0.01344513136102745
GKBug_v0,14,24,1,0,0,52.50833333333333,43.0,0.07903982448351517,0.007888642235066589
GKBug_v0,14,0,1,0,0,63.50833333333333,45.75,0.07480666946152,0.01837118469216177
